Phylonames,Genus,Species,Location
Abactochromis_labrosus,Abactochromis,labrosus,Malawi
Altolamprologus_compressiceps,Altolamprologus,compressiceps,Tanganyika
Alticorpus_mentale,Alticorpus,mentale,Malawi
Anomalochromis_thomasi,Anomalochromis,thomasi,West
Xenotilapia_leptura,Astatotilapia,leptura,Tanganyika
Aulonocara_koningsi,Aulonocara,koningsi,Malawi
Aulonocara_stuartgranti,Aulonocara,stuartgranti,Malawi
Aulonocranus_dewindti,Aulonocranus,dewindti,Tanganyika
Benthochromis_tricoti,Benthochromis,tricoti,Tanganyika
Buccochromis_nototaenia,Buccochromis,nototaenia,Malawi
Caprichromis_orthognathus,Caprichromis,orthognath,Malawi
Chalinochromis_brichardi,Chalinochromis,brichardi,Tanganyika
Cheilochromis_euchilus,Cheilochromis,euchilus,Malawi
Chilochromis_duponti,Chilochromis,duponti,Tanganyika
Chilotilapia_rhoadesii,Chilotilapia,rhoadesii,Malawi
Chindongo_bellicosus,Chindongo,bellicosus,Malawi
Chromidotilapia_kingsleyae,Chromidotilapia,kingsleyae,West
Copadichromis_borleyi,Copadichromis,borleyi,Malawi
Mchenga_cyclicos,Copadichromis,cyclicos,Malawi
Cynotilapia_afra,Cynotilapia,afra,Malawi
Cyphotilapia_frontosa,Cyphotilapia,frontosa,Tanganyika
Dimidiochromis_compressiceps,Dimidiochromis,compressiceps,Malawi
Ectodus_descampsii,Ectodus,descampsii,Tanganyika
Eretmodus_cyanostictus,Eretmodus,cyanostictus,Tanganyika
Exochochromis_anagenys,Exochochromis,anagenys,Malawi
Gephyrochromis_moorii,Gephyrochromis,moorii,Malawi
Grammatotria_lemairii,Grammatotria,lemairii,Tanganyika
Greenwoodochromis_christyi,Greenwoodochromis,christyi,Tanganyika
Haplochromis_squamulatus,Haplochromis,squamulatus,Victoria
Haplochromis_victoriae,Haplochromis,victoriae,Victoria
Hemibates_stenosoma,Hemibates,stenosoma,Tanganyika
Hemichromis_fasciatus,Hemichromis,fasciatus,West
Hemitaeniochromis_urotaenia,Hemitaeniochromis,urotaenia,Malawi
Interochromis_loocki,Interochromis,loocki,Tanganyika
Iodotropheus_sprengerae,Iodotropheus,sprengerae,Malawi
Konia_eisentrauti,Konia,eisentrauti,West
Labeotropheus_trewavasae,Labeotropheus,trewavasae,Malawi
Labidochromis_caeruleus,Labidochromis,caeruleus,Malawi
Lepidiolamprologus_elongatus,Lepidiolamprologus,elongatus,Tanganyika
Lethrinops_lethrinus,Lethrinops,lethrinus,Malawi
Lichnochromis_acuticeps,Lichnochromis,acuticeps,Malawi
Limnochromis_auritus,Limnochromis,auritus,Tanganyika
Limnotilapia_dardennii,Limnotilapia,dardennii,Tanganyika
Lobochilotes_labiatus,Lobochilotes,labiatus,Tanganyika
Mbipia_mbipi,Mbipia,mbipi,Victoria
Melanochromis_auratus,Melanochromis,auratus,Malawi
Melanochromis_melanopterus,Melanochromis,melanopterus,Malawi
Maylandia_koningsi,Metriaclima,koningsi,Malawi
Maylandia_mbenjii,Metriaclima,mbenji,Malawi
Mylochromis_lateristriga,Mylochromis,lateristriga,Malawi
Naevochromis_chrysogaster,Naevochromis,chrysogaster,Malawi
Nimbochromis_linni,Nimbochromis,linni,Malawi
Orthochromis_malagaraziensis,Orthochromis,malagaraziensis,Tanganyika
Otopharynx_lithobates,Otopharynx,lithobates,Malawi
Parananochromis_longirostris,Parananochromis,longirostris,West
Pelmatochromis_buettikoferi,Pelmatochromis,buettikoferi,West
Pelvicachromis_pulcher,Pelvicachromis,pulcher,West
Perissodus_microlepis,Perissodus,microlepis,Tanganyika
Petrochromis_polyodon,Petrochromis,polyodon,Tanganyika
Pseudosimochromis_curvifrons,Pseudosimochromis,curvifrons,Tanganyika
Pungu_maclareni,Pungu,maclareni,West
Reganochromis_calliurus,Reganochromis,calliurus,Tanganyika
Sciaenochromis_ahli,Sciaenochromis,ahli,Malawi
Simochromis_diagramma,Simochromis,diagramma,Tanganyika
Stomatepia_mariae,Stomatepia,mariae,West
Taeniolethrinops_praeorbitalis,Taeniolethrinops,praeorbitalis,Malawi
Tangachromis_dhanisi,Tangachromis,dhanisi,Tanganyika
Telmatochromis_temporalis,Telmatochromis,temporalis,Tanganyika
Thoracochromis_buysi,Thoracochromis,wingatii,Victoria
Thysochromis_ansorgii,Thysochromis,ansorgii,West
Tilapia_sparrmanii,Tilapia,sparrmanii,Malawi
Trematocranus_microstoma,Trematocranus,microstoma,Malawi
Xenochromis_hecqui,Xenochromis,hecqui,Tanganyika
Xenotilapia_ochrogenys,Xenotilapia,ochrogenys,Tanganyika
Nyassachromis_purpurans,Nyassachromis,fusiformis,Malawi
