"","Comp1","Comp2","Comp3"
"LFxTRC5001",0.0399906048235832,0.0130334444604958,0.000104991752324354
"LFxTRC5002",0.0252035357692982,-0.0119030675041596,-0.0061664015850875
"LFxTRC5003",-0.0481999248801395,0.00423086047025909,-0.0145333605958337
"LFxTRC5004",0.0307751606357376,-0.00426128723692419,0.0291761515943243
"LFxTRC5005",0.0101267359190045,-0.0214410117721039,0.00149452893313641
"LFxTRC5006",-0.0453404881369581,-0.0246573819559477,-0.0171879270584362
"LFxTRC5007",0.000102013911004424,0.0106219621750976,-0.00319291532068119
"LFxTRC5008",0.00639209185677453,-0.0174825010594959,0.00110094760085198
"LFxTRC5009",-0.0217644817706132,0.0482130412421382,-0.0137473421947908
"LFxTRC5073",-0.0329189128344498,-0.000805880477687224,-0.01273058589353
"LFxTRC5086",-0.00200885487325148,-0.00188138988114816,0.0181857319520986
"LFxTRC5087",-0.021117551084288,0.00343404308738227,0.0320863350427663
"LFxTRC5092",-0.0596816283305676,-0.0345612788446531,-0.0060684334424767
"LFxTRC5094",-0.0179823352457082,0.0148057863475154,0.000433929776114421
"LFxTRC5095",-0.0101960943782724,0.00745263355620256,0.0255878406765014
"LFxTRC5096",0.0464948418741126,-0.0196372273619732,-0.00632047839877761
"LFxTRC5098",-0.00755166021130971,0.00801924409556379,0.0160195421510778
"LFxTRC5103",0.000740088408782477,-0.0245976607400492,0.00829747524119112
"LFxTRC5107",0.0297160136206531,0.00706553986998343,-0.00732157547142648
"LFxTRC5108",-0.00783301411889988,-0.00693194628215234,-0.00447345981860093
"LFxTRC5110",-0.0080056981374987,-0.000115352543885458,0.00268126455630087
"LFxTRC5113",0.0158175594374276,-0.0185490984156394,-0.0116636028821864
"LFxTRC5115",0.0442862008232918,0.0119716663325237,-0.0237514711888663
"LFxTRC5116",-0.0578901103473459,0.00925443678181048,-0.0330599850471575
"LFxTRC5121",-0.0335818176466805,0.00828910366688019,0.0111014542399989
"LFxTRC5494",-0.0211302112361115,-0.000709915360136206,0.0028614027890539
"LFxTRC5495",-0.016307871094416,-0.0216893623693223,-0.0118010977410774
"LFxTRC5496",-0.0290301334502265,0.0130516827174308,-0.00565551930232257
"LFxTRC5497",0.0229973257183854,-0.0346167726338573,-0.00675426354512745
"LFxTRC5499",0.00437783673976842,-0.0201497805170729,0.0151760241802948
"LFxTRC5500",0.0144020756615532,-0.0126447013166398,0.000266986622618558
"LFxTRC5501",-0.000662550061991233,-0.00939643533279119,0.00306575500851702
"LFxTRC5502",0.0030428952164908,-0.0143886838017642,0.0154166619039778
"LFxTRC5503",-0.0262415997980332,-0.00473005343697008,-0.0174700472271991
"LFxTRC5507",-0.0218823012460138,0.0030760643241021,-0.029172820671199
"LFxTRC5508",0.00578096820009282,-0.0208518650050191,0.00703985807534949
"LFxTRC5509",0.00759623732159198,-0.014378848595079,-0.00917522755367806
"LFxTRC5510",0.021855834278464,-0.00249348653288719,0.00550421525799949
"LFxTRC5512",0.0289545799792056,-0.0123531134106858,-0.0082822205825495
"LFxTRC5513",-0.037104023151268,0.0266690926087422,-0.0271768746725188
"LFxTRC5514",0.0268539308933796,-0.00825917482292683,-0.017034396485004
"LFxTRC5515",0.0222847565811065,-0.0280796131042876,0.0095560585493487
"LFxTRC5516",-0.00340492992872472,0.00624403122591446,0.00539962114660167
"LFxTRC5517",0.0422294791325401,0.0136316480683035,0.0252400404361938
"LFxTRC5518",0.0347111438599463,-0.0079592925926244,-0.0218198357188121
"LFxTRC5519",0.0261482345582882,-0.00796808553659275,-0.00337585883236554
"LFxTRC5520",-0.038420645914999,-0.0208642616515061,-0.0161599849891986
"LFxTRC5521",0.0283618161568697,-0.0248832910171571,-0.0090404494784593
"LFxTRC5522",-0.0458747416203709,-0.0139659054155041,0.00155007120771
"LFxTRC5523",0.0229485278696422,-0.016197518774138,-0.000863052509895791
"LFxTRC5526",-0.0165104627935044,0.000891654074800183,0.0148011039969394
"LFxTRC5527",-0.0226682800960836,-0.0193715603652996,0.032363568065239
"LFxTRC5528",0.0367110458163565,-0.0137064952381956,0.00205891669732027
"LFxTRC5529",0.0312323894934698,-0.0225867293730404,-0.00375369841447026
"LFxTRC5530",0.00540925868732601,0.014291164372623,0.00179005423000351
"LFxTRC5531",-0.0134766914074225,-0.0312272821746097,-0.00900765859722992
"LFxTRC5532",-0.0258777765040451,-0.0445516178489589,0.0256672758842484
"LFxTRC5533",0.0316625830700372,-0.0113686625593789,-0.00856193884791703
"LFxTRC5534",0.0108262925738006,-0.0303118276892656,-0.0224646946048098
"LFxTRC5535",-0.0269126763480778,-0.0282151299551948,0.0165597974709771
"LFxTRC5536",0.0289264558849461,-0.0209301036305075,-0.00326784377366803
"LFxTRC5537",0.0388863586884745,-0.0257244024872519,-0.0155153799719882
