Man,Hyd,CB1,CB5,Clth,Spp,samp,Gene,standard_length,Genus
0.001115942,0.003763061,0.004976952,0.000341063,0.003221213,P_chit,3,Smad7,6.1,Petrotilapia
0.002545826,0.002008144,0.005247143,0.002615855,0.001901078,P_cyan,2,Smad7,6.9,Pseudotropheus
0.001975304,0.004804835,0.009381539,0.001693084,0.00117864,P_will,1,Smad7,6.2,Pseudotropheus
0.001360719,0.004087989,0.007180093,0.001911352,0.00522908,TGL,1,Smad7,6.3,Tropheops
0.000322825,0.001159644,0.00202714,0.000868962,0.001435489,TGL,2,Smad7,7.3,Tropheops
0.000136983,0.001836279,0.007282979,0.001268791,0.002395093,T_kum,2,Smad7,7.5,Tropheops
0.001352984,0.00341836,0.005375375,0.001294387,0.003286197,P_will,2,Smad7,7.6,Pseudotropheus
0.000136142,0.001812662,0.004909024,0.001120401,4.28E-06,P_chit,1,Smad7,6.2,Petrotilapia
0.001129857,0.000935405,0.002309741,0.002380992,0.002232549,MCK,1,Smad7,5.7,Metriaclima
0.001377774,0.00205867,0.001580186,0.001865999,0.001624868,P_cyan,1,Smad7,7,Pseudotropheus
0.003615957,0.003361981,0.007192275,0.015227569,0.006306915,M_mben,1,Smad7,5.2,Metriaclima
0.003426629,0.005159088,0.012681212,0.004507398,0.011476005,M_mben,2,Smad7,5.6,Metriaclima
0.001453674,0.002480441,0.003872189,0.002336777,0.004690748,M_mben,3,Smad7,4.8,Metriaclima
0.002519531,0.001402491,0.005303192,0.003580937,0.006404331,L_trew,6,Smad7,5.3,Labeotropeus
0.002089543,0.002528513,0.005248505,0.002486771,0.003713097,L_trew,7,Smad7,5.6,Labeotropeus
0.007597135,0.010787826,0.019372649,0.011072238,0.021092069,T_kum,6,Smad7,5.6,Tropheops
0.001139476,,0.00404391,0.001863612,0.00866081,T_kum,7,Smad7,6,Tropheops
0.002936133,0.000623208,,0.002204406,0.004196927,L_fuelle,1,Smad7,6.8,Labeotropeus
0.002561843,0.004751983,0.005096049,0.002387249,0.009500946,M_mben,4,Smad7,9,Metriaclima
0.00149431,0.001620233,0.002470303,0.001982808,0.00417776,M_mben,5,Smad7,9.4,Metriaclima
0.001908915,0.003925075,0.003095795,0.002249314,0.006724037,M_mben,6,Smad7,8.5,Metriaclima
0.001579687,0.002203055,0.002815816,0.004295069,0.001935262,T_kum,8,Smad7,6.6,Tropheops
0.002087833,0.001741615,0.003049969,0.002204371,0.004624636,T_kum,9,Smad7,7.2,Tropheops
